Province, U5 , U15 , O15 ,Cases_2021,Deaths_2021,Cases_2022,Deaths_2022,Cases_2023,Deaths_2023,Total_Cases,Total_Deaths
Bas-Uele,202666.34,337151.21,755316.07,261.00,4.00,91.00,1.00,163.00,8.00,515.00,13.00
Equateur,457782.48,703390.47,1357968.83,655.00,31.00,355.00,9.00,6825.00,322.00,7835.00,362.00
Haut-Katanga,1341342.99,1884768.77,3116022.44,0.00,0.00,7.00,0.00,1.00,0.00,8.00,0.00
Haut-Lomami,895541.83,1258351.93,2080386.8,0.00,0.00,0.00,0.00,7.00,0.00,7.00,0.00
Haut-Uele,292966.81,487381.51,1091875.09,10.00,0.00,14.00,1.00,0.00,0.00,24.00,1.00
Ituri,899920.41,1497087.11,3353911.59,0.00,0.00,2.00,0.00,2.00,0.00,4.00,0.00
Kasaï,847466.09,1353523.26,2430085.2,65.00,0.00,228.00,28.00,326.00,10.00,619.00,38.00
Kasaï-Central,903202.58,1442536.54,2589903.95,19.00,0.00,19.00,0.00,68.00,0.00,106.00,0.00
Kasaï-Oriental,1138486.87,1637734.98,2825452.96,0.00,0.00,7.00,0.00,0.00,0.00,7.00,0.00
Kinshasa,2173849.59,2977231.52,5238608.39,1.00,0.00,14.00,1.00,37.00,0.00,52.00,1.00
Kongo-Central,860665.59,1251337.93,2110501.11,0.00,0.00,0.00,0.00,3.00,0.00,3.00,0.00
Kwango,501275.25,740410.39,1340868.16,3.00,0.00,555.00,6.00,143.00,1.00,701.00,7.00
Kwilu,1003243.93,1481851.87,2683615.69,18.00,2.00,55.00,4.00,48.00,1.00,121.00,7.00
Lomami,839569.3,1207726.06,2083594.52,0.00,0.00,1.00,0.00,11.00,0.00,12.00,0.00
Lualaba,515353.09,724141.87,1197188.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Maï-Ndombe,385074.73,568777.78,1030046.72,341.00,3.00,177.00,5.00,1982.00,132.00,2500.00,140.00
Maniema,513801.53,715518.91,1497361.42,99.00,3.00,349.00,12.00,219.00,1.00,667.00,16.00
Mongala,471411.35,724333.63,1398396.66,248.00,2.00,115.00,6.00,184.00,5.00,547.00,13.00
Nord-Kivu,2119950.48,2983583.42,5475587.3,0.00,0.00,8.00,0.00,1.00,0.00,9.00,0.00
Nord-Ubangi,295736.91,454401.32,877265.3,17.00,0.00,34.00,0.00,71.00,6.00,122.00,6.00
Sankuru,430619.39,619448.58,1068698.79,582.00,7.00,2271.00,42.00,1748.00,38.00,4601.00,87.00
Sud-Kivu,1457607.48,2019413.15,3866790.76,0.00,0.00,2.00,0.00,116.00,0.00,118.00,0.00
Sud-Ubangi,536911.38,824973.29,1592691.03,231.00,6.00,161.00,6.00,430.00,11.00,822.00,23.00
Tanganyika,694202.14,975450.1,1612677.73,0.00,0.00,3.00,0.00,1.00,0.00,4.00,0.00
Tshopo,506598.28,842767.46,1888042.71,125.00,10.00,907.00,74.00,1398.00,71.00,2430.00,155.00
Tshuapa,396240.52,608832.64,1175418.54,318.00,13.00,302.00,18.00,969.00,69.00,1589.00,100.00
,,,,2993.00,81.00,5677.00,213.00,14753.00,675.00,23423.00,969.00
